,31m56s.png,10m04s.png,07m36s.png,38m55s.png,03m10s.png,14m04s.png,33m28s.png,06m47s.png,08m25s.png
0,-0.0,54399844000.0,-0.0,13519540000.0,-0.0,-0.0,54399844000.0,109673630000.0,-0.0
1,-0.0,54399844000.0,-0.0,13519540000.0,-0.0,-0.0,54399844000.0,81925740000.0,-0.0
2,-0.0,40719036000.0,-0.0,13519540000.0,-0.0,-0.0,54399844000.0,81925740000.0,-0.0
3,-0.0,54399844000.0,-0.0,13519540000.0,-0.0,27092410000.0,54399844000.0,54399844000.0,-0.0
4,-0.0,54399844000.0,-0.0,-0.0,27092410000.0,40719036000.0,-0.0,40719036000.0,-0.0
5,54399844000.0,40719036000.0,-0.0,-0.0,27092410000.0,40719036000.0,-0.0,54399844000.0,-0.0
6,40719036000.0,-0.0,-0.0,-0.0,27092410000.0,-0.0,-0.0,40719036000.0,-0.0
7,95771705000.0,40719036000.0,-0.0,-0.0,27092410000.0,-0.0,-0.0,54399844000.0,-0.0
8,81925740000.0,40719036000.0,-0.0,-0.0,13519540000.0,-0.0,-0.0,27092410000.0,-0.0
9,54399844000.0,40719036000.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
10,27092410000.0,-0.0,-0.0,81925740000.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
11,54399844000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
12,27092410000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
13,27092410000.0,-0.0,-0.0,27092410000.0,-0.0,-0.0,-0.0,27092410000.0,40719036000.0
14,40719036000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,68135264000.0
15,13519540000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,40719036000.0,109673630000.0
16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,54399844000.0,109673630000.0
17,-0.0,27092410000.0,-0.0,-0.0,109673630000.0,-0.0,-0.0,68135264000.0,54399844000.0
18,-0.0,27092410000.0,13519540000.0,-0.0,-0.0,-0.0,27092410000.0,68135264000.0,27092410000.0
19,-0.0,123631935000.0,-0.0,-0.0,-0.0,13519540000.0,13519540000.0,40719036000.0,27092410000.0
20,-0.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0
21,-0.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0
22,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0
23,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0
26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,-0.0,-0.0,-0.0,-0.0,68135264000.0,-0.0,-0.0,-0.0,-0.0
29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,-0.0,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0
31,-0.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
32,-0.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
33,-0.0,27092410000.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,-0.0
